TenderID,TenderName,TenderNumber,EntityName,entityId,InternalStatus,DueDate,TenderDetails,BiddingOpenDate,DueDays,TenderURL,EstimatedValue,DiscoveryUrl,EventId,EventType,CategoryDescriptionEn,CategoryDescriptionAr,CategoryIds,TenderStatus,Attachments,RecommendedTenders,Source,tender_title,reference_no
1220053,RFQ-Blanket Agreement to Supply Veterinary Medicines for 2 years,6613359-2,ADAFSA - Abu Dhabi Agriculture And Food Safety Authority ,ADAFSAAbuDhabiAgricultureAndFoodSafetyAuthority,OPEN,2025-12-31T00:00:00Z,"Blanket Agreement for 2 years Supply Veterinary Medicines
to Abu Dhabi Agriculture and Food Safety",,3,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1220053?recommendedLimit=3,AED 0 - 0,https://eservice.addigital.gov.ae/,6633835,RFQ,"Healthcare Services - Diagnoses of external causes of morbidity and mortality  ,Drugs and Pharmaceutical Products - Nonsteroidal anti inflammatory drugs NSAIDs,Drugs and Pharmaceutical Products - Drugs affecting the ears,Medical Equipment and Accessories and Supplies - Patient care and treatment products and supplies,Management and Business Professionals and Administrative Services - Real estate services,Drugs and Pharmaceutical Products - Antiseptics,Cleaning Equipment and Supplies - Water and wastewater treatment supply and disposal","خدمات رعاية صحية - تشخيص الأسباب الخارجية للاعتلال والوفاة,أدوية ومنتجات صيدلانية - أدوية مضادة للالتهاب غير سويتريدية,أدوية ومنتجات صيدلانية - eye,معدات ومستلزمات وتجهيزات طبية - منتجات وتجهيزات رعاية وعلاج المرضى,خدمات اختصاصيي إدارة وأعمال وخدمات إدارية - خدمات عقارية,أدوية ومنتجات صيدلانية - مطهرات,معدات ومستزمات التنظيف - إمداد معالجة و صرف المياه ومياه الصرف الصحي","[85000000, 51000000, 51000000, 42000000, 80000000, 51000000, 47000000]",Open,[],[],AbuDhabi,RFQ-Blanket Agreement to Supply Veterinary Medicines for 2 years,6613359-2
1220078,RFQ-Supply of Fruits and Dates - Framework Agreement 2 Years,635105000101,ADPIC - Department of Municipalities and Transport (DMT),ADPICDepartmentOfMunicipalitiesAndTransportDMT,OPEN,2025-12-30T00:00:00Z,Supply of Fruits and Dates - Framework Agreement 2 Years,,2,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1220078?recommendedLimit=3,AED 0 - 0,https://iaaibv.fa.ocs.oraclecloud29.com/fscmUI/faces/deeplink?objType=NEGOTIATION_SUPPLIERUSER&action=VIEW&objKey=AuctionHeaderId=381013,381013,RFQ,Travel and Food and Lodging and Entertainment Services - Restaurants and catering,خدمات السفر والطعام والإقامة والترفيه - مطاعم وتموين,[90000000],Open,[],[],AbuDhabi,RFQ-Supply of Fruits and Dates - Framework Agreement 2 Years,635105000101
1220062,RFQ-Basic Insurance Policy Management,651105000163,Department of Health,651,OPEN,2026-01-09T00:00:00Z,,,12,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1220062?recommendedLimit=3,AED 0 - 0,https://iaaibv.fa.ocs.oraclecloud29.com/fscmUI/faces/deeplink?objType=NEGOTIATION_SUPPLIERUSER&action=VIEW&objKey=AuctionHeaderId=381014,381014,RFQ,Management and Business Professionals and Administrative Services - Legal services,خدمات اختصاصيي إدارة وأعمال وخدمات إدارية - خدمات قانونية,[80000000],Open,[],[],AbuDhabi,RFQ-Basic Insurance Policy Management,651105000163
1219423,RFI-ADCMC Booklets,327105000026,Emergencies Crises and Disasters Management Centre Abu Dhabi,EmergenciesCrisesAndDisastersManagementCentreAbuDhabi,OPEN,2026-01-06T00:00:00Z,To propose booklets design and concepts.,,9,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219423?recommendedLimit=3,AED 0 - 0,https://iaaibv.fa.ocs.oraclecloud29.com/fscmUI/faces/deeplink?objType=NEGOTIATION_SUPPLIERUSER&action=VIEW&objKey=AuctionHeaderId=300000331326718,300000331326718,RFI,,,[],Open,[],[],AbuDhabi,RFI-ADCMC Booklets,327105000026
1220069,RFQ-Supply of Home Appliances - Madinat Zayed and Al Dannah city,133105000062,Ruler's Representative Court Al Dhafra Region,RulersRepresentativeCourtAlDhafraRegion,OPEN,2025-12-29T00:00:00Z,"Supply of Home Appliances - Madinat Zayed and Al Dannah city 
",,1,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1220069?recommendedLimit=3,AED 0 - 0,https://iaaibv.fa.ocs.oraclecloud29.com/fscmUI/faces/deeplink?objType=NEGOTIATION_SUPPLIERUSER&action=VIEW&objKey=AuctionHeaderId=300000337062189,300000337062189,RFQ,"Cleaning Equipment and Supplies - Industrial laundry and dry cleaning equipment,Food Beverage and Tobacco Products - Beverages,Apparel and Luggage and Personal Care Products - Clothing,Furniture and Furnishings - Decorative adornments,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies - Industrial refrigeration,Mineral and Textile and Inedible Plant and Animal Materials - Minerals and ores and metals,Cleaning Equipment and Supplies - Cleaning and janitorial supplies,Industrial Manufacturing and Processing Machinery and Accessories - Industrial food and beverage equipment,Distribution and Conditioning Systems and Equipment and Components - Heating and ventilation and air circulation,Land and Buildings and Structures and Thoroughfares - Prefabricated buildings and structures,Structures and Building and Construction and Manufacturing Components and Supplies - Structural components and basic shapes,Travel and Food and Lodging and Entertainment Services - Restaurants and catering","معدات ومستزمات التنظيف - معدات الغسيل الصناعي والتنظيف الجاف,أطعمة ومشروبات ومنتجات التبغ - مشروبات,منتجات ملابس وأمتعة وعناية شخصية - ملابس,أثاث وتأثيث - زخارف تزيينية,آلات وتجهيزات مناولة المواد والتكييف والتخزين - تبريد صناعي,معادن ومنسوجات ومواد نباتية وحيوانية غير صالحة للأكل - معادن وخامات وفلزات,معدات ومستزمات التنظيف - تجهيزات النظافة ومهام النظافة,آلات ومستلزمات الصناعات التحويلية وآلات المعالجة - معدات الأغذية والمشروبات الصناعية,أنظمة ومعدات ومكونات التوزيع والتكييف - تدفئة وتهوية وتدوير الهواء,أراضي ومباني ومنشآت وطرق عامة - مباني والهياكل مسبقة التجهيز,مكونات وتجهيزات البناء والمباني والمنشآت والتصنيع - مكونات هيكلية وأشكال أساسية,خدمات السفر والطعام والإقامة والترفيه - مطاعم وتموين","[47000000, 50000000, 53000000, 56000000, 24000000, 11000000, 47000000, 23000000, 40000000, 95000000, 30000000, 90000000]",Open,[],[],AbuDhabi,RFQ-Supply of Home Appliances - Madinat Zayed and Al Dannah city,133105000062
1219617,RFQ-Quality Assurance & Quality Control Services.,6632841,SSA - Social Support Authority ,SSASocialSupportAuthority,OPEN,2026-01-08T00:00:00Z,Quality Assurance & Quality Control Services.,,11,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219617?recommendedLimit=3,AED 0 - 0,https://eservice.addigital.gov.ae/,6632841,RFQ,Engineering and Research and Technology Based Services - Computer services,خدمات مستندة إلى الهندسة والبحث والتقنية - خدمات الحاسوب,[81000000],Open,[],[],AbuDhabi,RFQ-Quality Assurance & Quality Control Services.,6632841
1219635,RFQ-DoF - PROVISION OF VEHICLE LEASING AND DRIVER SERVICES 2026,6632825,Department of Finance,211,OPEN,2026-01-08T00:00:00Z,The Department of Finance – Abu Dhabi invites you to participate at the RFP for PROVISION OF VEHICLE LEASING AND DRIVER SERVICES 2026,,11,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219635?recommendedLimit=3,AED 0 - 0,https://eservice.addigital.gov.ae/,6632825,RFQ,Transportation and Storage and Mail Services - Transport services,خدمات النقل والتخزين والبريد - خدمات النقل,[78000000],Open,[],[],AbuDhabi,RFQ-DoF - PROVISION OF VEHICLE LEASING AND DRIVER SERVICES 2026,6632825
1219644,"RFQ-SSA CCTV, Access Doors, and Meeting Rooms Solutions",6632844,SSA - Social Support Authority ,SSASocialSupportAuthority,OPEN,2026-01-08T00:00:00Z,"SSA CCTV, Access Doors, and Meeting Rooms Solutions",,11,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219644?recommendedLimit=3,AED 0 - 0,https://eservice.addigital.gov.ae/,6632844,RFQ,Information Technology Broadcasting and Telecommunications - Computer Equipment and Accessories,تقنية المعلومات الإذاعة والاتصالات - معدات ومستلزمات الحاسوب,[43000000],Open,[],[],AbuDhabi,"RFQ-SSA CCTV, Access Doors, and Meeting Rooms Solutions",6632844
1219707,RFQ-Training Program: Executive Coaching for Senior Leaders,6632830,Department of Finance,211,OPEN,2026-01-19T00:00:00Z,"The Department of Finance – Abu Dhabi invites you to participate at the RFP for 2026 Training Program: Executive Coaching for Senior Leaders – Confidence, Political Savvy, Emotional Resilience, and People Leadership Excellence",,22,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219707?recommendedLimit=3,AED 0 - 0,https://eservice.addigital.gov.ae/,6632830,RFQ,Education and Training Services - Specialized educational services,خدمات تعليم وتدريب - خدمات تعليمية متخصصة,[86000000],Open,[],[],AbuDhabi,RFQ-Training Program: Executive Coaching for Senior Leaders,6632830
1219743,RFQ-G1022025,6622825,ADPIC - Al Ain Municipality (AAM),ADPICAlAinMunicipalityAAM,OPEN,2026-01-26T00:00:00Z,"Construction of Fish, Fruits & Vegetables Market in Al Aamerah Area – Al Ain City",,29,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219743?recommendedLimit=3,AED 0 - 0,https://eservice.addigital.gov.ae/,6622825,RFQ,Structures and Building and Construction and Manufacturing Components and Supplies - Roads and landscape,مكونات وتجهيزات البناء والمباني والمنشآت والتصنيع - طرق ومناظر طبيعية,[30000000],Open,[],[],AbuDhabi,RFQ-G1022025,6622825
